,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,mean
0,1078.5392670157069,1033.6422413793102,871.0669014084507,958.2959641255605,828.3025641025641,752.6792452830189,1006.1388888888889,867.2718894009216,823.1327433628319,764.1262135922331,925.1111111111111,847.526119402985,738.9460317460317,992.7445652173913,683.1542288557214,818.1082474226804,917.7468879668049,941.1237113402062,1279.7481751824816,1105.962837837838,1661.859649122807,932.9,728.9779411764706,1134.1333333333334,971.0765957446808,893.989898989899,1021.3436293436293,803.2215909090909,942.1739454736661
1,1321.8072916666667,1131.871794871795,932.5156794425087,1079.7079646017698,926.7236180904523,810.9255813953488,1100.0708661417323,1099.9414414414414,852.6200873362445,902.5215311004785,1012.521568627451,938.9407407407407,781.0662460567823,1087.764705882353,799.7756097560975,950.2323232323232,1040.3688524590164,1121.7755102040817,1411.6630434782608,1284.0466666666666,2032.195652173913,1168.6954732510287,801.3978102189781,1275.1194690265486,1045.6903765690377,994.0547263681592,1178.671755725191,888.4325842696629,1070.3971060998115
2,1628.1855670103093,1220.8297872340424,1010.8591065292096,1214.9912280701753,1022.2277227722773,867.2009132420092,1210.4765625,1476.5765765765766,896.7903930131005,1110.4811320754718,1111.0891472868218,1021.8681318681319,836.1635220125786,1197.9790575916231,970.5776699029126,1103.06,1163.161943319838,1379.2070707070707,1546.1079136690648,1523.3377483443708,2520.5897435897436,1389.7935222672065,890.7692307692307,1436.1894273127753,1116.6404958677685,1118.7843137254902,1361.875939849624,976.9491525423729,1225.812964987493
3,1994.030612244898,1281.8553191489361,1111.6335616438357,1369.6288209606987,1096.4,939.072072072072,1343.9377431906614,2057.9545454545455,944.2672413793103,1362.1944444444443,1230.7286821705427,1094.1624548736463,923.410094637224,1296.497435897436,1167.7067307692307,1290.5098039215686,1290.7729083665338,1737.84,1690.6382978723404,1778.1601307189542,3182.0882352941176,1570.2943548387098,978.5714285714286,1608.5964912280701,1187.2235772357724,1269.038647342995,1526.817843866171,1103.6759776536312,1408.132409135635
4,2431.3469387755104,1368.2264957264956,1240.6735395189003,1563.578947368421,1147.0243902439024,1009.4557522123894,1505.3176470588235,2822.958904109589,999.5338983050848,1636.3954545454546,1355.8918918918919,1186.2669039145908,1058.9556962025317,1424.854271356784,1399.9808612440193,1555.3990384615386,1452.01185770751,2259.407960199005,1885.161971830986,2034.1032258064515,3998.2365145228214,1743.2690763052208,1077.2930402930403,1812.9257641921397,1254.2449799196788,1436.057142857143,1654.4132841328412,1319.5333333333333,1629.7328136441465
5,2928.1666666666665,1461.6623376623377,1396.6413793103447,1776.780701754386,1194.512077294686,1077.1391304347826,1697.2579365079366,3792.6438356164385,1072.8125,1898.9103139013453,1496.1570881226053,1282.3087719298246,1246.0253164556962,1551.6666666666667,1608.1611374407582,1951.4198113207547,1677.0276679841897,2950.8128078817736,2117.5138888888887,2267.6624203821657,4941.130612244898,1910.768924302789,1181.5457875457876,2028.471615720524,1324.5833333333333,1635.2429906542056,1773.5128205128206,1644.521978021978,1888.752161377092
6,3468.37,1561.0829694323145,1554.951388888889,2029.622807017544,1256.7826086956522,1151.2094017094016,1929.7983870967741,4764.48623853211,1176.8847736625514,2091.519823788546,1604.4770992366412,1379.3006993006993,1466.7943037974683,1710.5615763546798,1792.7075471698113,2495.5560747663553,1998.889328063241,3783.0539215686276,2384.6609589041095,2450.2201257861634,5856.903614457831,2115.0476190476193,1295.309963099631,2240.669565217391,1400.515625,1889.9354838709678,1913.996336996337,2071.7934782608695,2172.682204275794
7,4055.275,1689.7092511013216,1721.8251748251748,2302.8893805309735,1392.3058252427184,1212.1603375527427,2198.8979591836733,5599.305555555556,1307.1234567901236,2227.465217391304,1701.1984732824428,1445.8675958188153,1702.6082802547771,1943.9853658536585,1915.2943925233644,3089.2757009345796,2406.8492063492063,4742.139303482587,2661.777027027027,2590.5817610062895,6815.744,2384.2063492063494,1382.4686346863468,2406.395652173913,1485.173076923077,2207.729357798165,2087.9963099630995,2625.1666666666665,2475.050511147284
8,4608.111111111111,1863.47533632287,1882.826855123675,2622.401785714286,1600.3004926108374,1269.1791666666666,2516.909465020576,6268.234741784037,1455.4669421487604,2283.913043478261,1762.6138996138995,1518.1176470588234,1916.2700964630226,2273.3951219512196,1996.736111111111,3743.4218009478673,2905.272,5617.084577114428,2980.2915254237287,2682.271875,7701.900793650793,2743.876984126984,1448.3874538745388,2583.9517543859647,1587.9423076923076,2562.8256880733943,2303.8104089219332,3262.2594594594593,2784.330301601806
9,5129.7295918367345,2056.4292237442924,2050.2419928825625,2944.518181818182,1884.8793969849246,1309.112970711297,2861.0666666666666,6992.574162679426,1617.904958677686,2275.0526315789475,1817.852140077821,1592.3470790378008,2102.1003236245956,2725.6930693069307,2051.2093023255816,4372.014423076923,3438.576612903226,6394.722222222223,3284.263698630137,2756.766355140187,8489.622047244095,3245.968,1478.565543071161,2780.0177777777776,1716.1744186046512,2895.7649769585255,2534.9775280898875,3993.8097826086955,3099.7126813671757
10,5639.104166666667,2275.11214953271,2183.5627240143367,3309.302752293578,2176.456852791878,1353.40756302521,3249.781512605042,7778.140776699029,1779.675,2293.9424778761063,1864.9251968503936,1653.721649484536,2243.326797385621,3243.631313131313,2037.2735849056603,4972.585365853659,4009.469387755102,6986.505102040816,3593.349480968858,2839.275,9217.474509803922,3902.0162601626016,1467.7718631178707,2998.5272727272727,1840.1764705882354,3248.654205607477,2819.318181818182,4786.15,3420.09420063236
11,6128.074468085107,2537.717703349282,2308.895306859206,3644.2688679245284,2501.1948717948717,1385.8270042194092,3638.4533898305085,8464.173267326732,1942.1822033898304,2355.2946428571427,1911.1713147410358,1699.6689895470383,2360.9473684210525,3853.546391752577,2020.1346153846155,5609.54,4630.231404958678,7420.015544041451,3843.7630662020906,2921.410094637224,9760.270588235295,4680.714876033057,1462.9143968871595,3309.0555555555557,1956.604,3635.315789473684,3143.087786259542,5524.522727272727,3737.464151251407
