,0,1,2,3,4,5,mean
0,966.1648351648352,559.5473251028807,522.2543859649123,701.2945736434109,564.8444444444444,698.5989583333334,668.7840871089694
1,1133.9945652173913,618.1983805668016,588.1965065502184,806.360153256705,585.1107011070111,752.2102564102564,747.3450938513973
2,1346.5478723404256,684.988,661.1818181818181,903.2661596958175,609.8235294117648,819.8121827411168,837.6032603951571
3,1595.4659685863874,755.3147410358566,732.3405172413793,985.8641509433962,651.5128205128206,900.070707070707,936.7614842317579
4,1878.8802083333333,845.781746031746,804.974358974359,1065.8726591760299,714.1213235294117,969.785,1046.56921600748
5,2186.0625,949.0398406374502,873.1489361702128,1126.313432835821,793.3308823529412,1048.5247524752476,1162.7367240786123
6,2541.6145833333335,1089.3545816733067,964.4936170212766,1184.8731343283582,896.140221402214,1137.7205882352941,1302.3661209989639
7,2934.1979166666665,1261.3505976095616,1085.7489361702128,1239.6754716981131,1018.0259259259259,1253.3804878048782,1465.3965559792262
8,3326.4293193717276,1485.3927125506073,1260.1130434782608,1284.026717557252,1180.0299625468165,1383.0922330097087,1653.1806647523954
9,3694.8795811518326,1763.9958506224066,1483.168888888889,1345.2480620155038,1393.9429657794676,1526.3140096618358,1867.9248930199892
10,4015.6417112299464,2088.4599156118143,1769.6954545454546,1421.8622047244094,1678.6525096525097,1645.6923076923076,2103.33401724274
11,4215.635869565217,2448.9220779220777,2084.4,1492.1209677419354,2032.4117647058824,1772.6009615384614,2341.0152735789293
12,4278.604395604396,2785.0619469026547,2449.298578199052,1544.164609053498,2462.464,1873.7342995169083,2565.554638212752
13,4239.213483146067,3094.266968325792,2791.6796116504856,1577.142857142857,3002.3264462809916,1980.1871921182267,2780.8027597774035
14,4144.9884393063585,3399.26511627907,3079.2885572139303,1561.2789699570815,3548.9747899159665,2105.3888888888887,2973.1974602602154
15,3952.3035714285716,3671.157142857143,3284.48730964467,1506.5833333333333,4106.3862660944205,2233.984455958549,3125.8170132194477
16,3689.6913580246915,3933.5853658536585,3406.549738219895,1453.0045045045044,4587.070484581498,2350.2043010752686,3236.6842920432523
17,3398.732484076433,4143.472361809046,3458.4193548387098,1374.0740740740741,4993.887387387387,2461.9395604395604,3305.087537104202
18,3138.6797385620916,4316.58549222798,3434.302197802198,1326.9619047619049,5370.724770642202,2566.7714285714287,3359.0042554279676
19,2887.938775510204,4411.143617021276,3330.5344827586205,1277.3058252427184,5832.54028436019,2702.698224852071,3407.0268682908463
20,2600.2695035460993,4370.912568306011,3163.195266272189,1228.8258706467661,6261.371980676328,2803.6036585365855,3404.696474663997
21,2310.133333333333,4208.181818181818,3032.430303030303,1160.3659793814434,6697.562189054726,2956.3522012578615,3394.1709707065806
22,2089.5307692307692,3930.664705882353,2897.8607594936707,1090.7659574468084,7045.9794871794875,3092.3333333333335,3357.855835427737
23,1909.9193548387098,3680.4,2825.9869281045753,1017.0494505494505,7280.518518518518,3260.2972972972975,3329.028591551425
24,1698.1025641025642,3440.66875,2722.8551724137933,948.7909604519774,7370.962162162162,3416.762237762238,3266.356974482123
25,1554.7837837837837,3248.214285714286,2574.3237410071943,876.9882352941177,7348.691011235955,3592.195652173913,3199.1994515348747
26,1311.942857142857,3056.228187919463,2464.268656716418,796.3515151515152,7174.254335260116,3744.0149253731342,3091.1767462605835
27,1112.6836734693877,2899.8811188811187,2294.8125,721.6521739130435,6831.766467065869,3887.5891472868216,2958.064180102707
28,1002.9032258064516,2748.7194244604316,2096.5123966942147,658.7179487179487,6371.740740740741,4000.0564516129034,2813.108364672115
29,926.8522727272727,2555.121212121212,1945.6120689655172,605.8940397350993,5901.461038961039,4130.95,2677.6484387516903
30,884.2409638554217,2348.696,1745.2342342342342,559.9591836734694,5420.293333333333,4279.426086956521,2539.641633675497
31,856.4683544303797,2078.641666666667,1545.3619047619047,529.6971830985915,4961.711267605634,4369.7027027027025,2390.263846544313
32,821.5135135135135,1812.3185840707965,1368.7373737373737,497.992700729927,4546.890510948905,4423.094339622641,2245.091170437193
33,785.9264705882352,1561.9351851851852,1246.5,480.8484848484849,4237.137404580153,4476.892156862745,2131.5399503441336
34,760.4444444444445,1397.6732673267327,1159.5111111111112,458.984126984127,3889.967741935484,4552.494845360825,2036.5125895271206
35,733.8103448275862,1270.5212765957447,1100.047619047619,447.71666666666664,3590.864406779661,4652.956043956044,1965.9860596455535
36,729.3703703703703,1194.2528735632184,1055.6582278481012,441.2162162162162,3376.0803571428573,4732.709302325581,1921.5478912443907
