,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,mean
0,1092.86013986014,1009.6990291262136,828.5515463917526,941.6742081447964,1195.5526315789473,1245.7892376681614,873.7070707070707,781.0714285714286,938.7021276595744,1054.1463414634147,930.2823529411764,968.8737373737374,1095.6051502145922,901.4196078431372,840.5263157894736,764.2054263565891,1046.084,983.2480314960629,758.0285714285715,971.3188405797101,881.3769841269841,1038.0335195530727,686.0401459854014,730.2549800796813,969.6651162790698,940.6923076923077,777.7651515151515,1228.2846715328467,945.4806668556809,1092.86013986014,1009.6990291262136,828.5515463917526,941.6742081447964,1195.5526315789473,1245.7892376681614,873.7070707070707,781.0714285714286,938.7021276595744,1054.1463414634147,930.2823529411764,968.8737373737374,1095.6051502145922,901.4196078431372,840.5263157894736,764.2054263565891,1046.084,983.2480314960629,758.0285714285715,971.3188405797101,881.3769841269841,1038.0335195530727,686.0401459854014,730.2549800796813,969.6651162790698,940.6923076923077,777.7651515151515,1228.2846715328467,945.4806668556809
1,1205.8206896551724,1105.4619047619049,959.6580310880829,1059.2622222222221,1362.0344827586207,1446.8105726872247,993.9554455445544,872.38671875,1012.3319327731092,1290.6153846153845,1059.6937984496124,1117.713567839196,1203.746835443038,1004.8449612403101,1007.5567765567765,860.0496183206106,1252.1181102362204,1149.365758754864,865.5863453815261,1100.6774193548388,982.5375494071146,1175.0828729281768,762.931654676259,827.9683794466404,1109.6009174311926,1058.919191919192,848.921052631579,1493.96,1078.2004355311935,1205.8206896551724,1105.4619047619049,959.6580310880829,1059.2622222222221,1362.0344827586207,1446.8105726872247,993.9554455445544,872.38671875,1012.3319327731092,1290.6153846153845,1059.6937984496124,1117.713567839196,1203.746835443038,1004.8449612403101,1007.5567765567765,860.0496183206106,1252.1181102362204,1149.365758754864,865.5863453815261,1100.6774193548388,982.5375494071146,1175.0828729281768,762.931654676259,827.9683794466404,1109.6009174311926,1058.919191919192,848.921052631579,1493.96,1078.2004355311935
2,1335.8191126279864,1207.1745283018868,1136.139175257732,1195.235807860262,1546.0128205128206,1688.9437229437228,1147.980487804878,971.4461538461538,1106.5,1585.25,1214.3011583011582,1254.175,1324.008368200837,1101.9656488549617,1228.5451263537907,974.5563909774436,1551.79296875,1352.2664092664093,1027.3636363636363,1275.4558303886927,1119.2134387351778,1326.7445652173913,850.4893617021277,945.9288537549407,1259.4705882352941,1178.430693069307,942.1123595505618,1827.6545454545455,1238.3920268689897,1335.8191126279864,1207.1745283018868,1136.139175257732,1195.235807860262,1546.0128205128206,1688.9437229437228,1147.980487804878,971.4461538461538,1106.5,1585.25,1214.3011583011582,1254.175,1324.008368200837,1101.9656488549617,1228.5451263537907,974.5563909774436,1551.79296875,1352.2664092664093,1027.3636363636363,1275.4558303886927,1119.2134387351778,1326.7445652173913,850.4893617021277,945.9288537549407,1259.4705882352941,1178.430693069307,942.1123595505618,1827.6545454545455,1238.3920268689903
3,1477.3254237288136,1318.287037037037,1375.2397959183672,1373.725321888412,1721.735294117647,1963.8589743589744,1334.826923076923,1088.6704545454545,1208.9444444444443,1954.7962962962963,1393.5747126436781,1382.695,1488.7833333333333,1201.7207547169812,1517.5306859205775,1105.6148148148147,1981.5603112840467,1542.2576923076922,1193.4308300395257,1463.567944250871,1321.0956175298804,1534.3689839572191,969.1859649122807,1067.3070866141732,1418.9466666666667,1311.1773399014778,1078.5687732342008,2248.6861313868612,1429.9100931759515,1477.3254237288136,1318.287037037037,1375.2397959183672,1373.725321888412,1721.735294117647,1963.8589743589744,1334.826923076923,1088.6704545454545,1208.9444444444443,1954.7962962962963,1393.5747126436781,1382.695,1488.7833333333333,1201.7207547169812,1517.5306859205775,1105.6148148148147,1981.5603112840467,1542.2576923076922,1193.4308300395257,1463.567944250871,1321.0956175298804,1534.3689839572191,969.1859649122807,1067.3070866141732,1418.9466666666667,1311.1773399014778,1078.5687732342008,2248.6861313868612,1429.9100931759517
4,1610.3636363636363,1428.240909090909,1682.1675126903554,1611.1538461538462,1890.0661157024792,2278.9789915966385,1560.1142857142856,1207.9253731343283,1331.2521739130434,2446.21198156682,1583.0076335877864,1513.7424242424242,1708.1363636363637,1332.7313432835822,1842.346570397112,1235.5620437956204,2510.0271317829456,1675.1870229007634,1382.7992125984251,1630.8166089965398,1612.4008097165993,1754.6753926701572,1103.8512110726645,1192.99604743083,1583.825327510917,1469.590243902439,1265.0110701107012,2701.8284671532847,1648.0360625255532,1610.3636363636363,1428.240909090909,1682.1675126903554,1611.1538461538462,1890.0661157024792,2278.9789915966385,1560.1142857142856,1207.9253731343283,1331.2521739130434,2446.21198156682,1583.0076335877864,1513.7424242424242,1708.1363636363637,1332.7313432835822,1842.346570397112,1235.5620437956204,2510.0271317829456,1675.1870229007634,1382.7992125984251,1630.8166089965398,1612.4008097165993,1754.6753926701572,1103.8512110726645,1192.99604743083,1583.825327510917,1469.590243902439,1265.0110701107012,2701.8284671532847,1648.036062525554
5,1743.4147157190635,1591.2262443438915,2103.395939086294,1917.1410256410256,2053.151639344262,2650.50826446281,1841.0428571428572,1321.7453874538746,1474.819383259912,3031.059633027523,1813.1596958174905,1643.9343434343434,2008.8934426229507,1504.981549815498,2219.0791366906474,1361.5451263537907,3101.579766536965,1749.8897338403042,1560.748031496063,1742.0413793103448,1998.6639344262296,2011.359375,1253.1808873720136,1307.654761904762,1740.6853448275863,1660.0579710144928,1506.4280442804427,3166.3382352941176,1895.6330660542699,1743.4147157190635,1591.2262443438915,2103.395939086294,1917.1410256410256,2053.151639344262,2650.50826446281,1841.0428571428572,1321.7453874538746,1474.819383259912,3031.059633027523,1813.1596958174905,1643.9343434343434,2008.8934426229507,1504.981549815498,2219.0791366906474,1361.5451263537907,3101.579766536965,1749.8897338403042,1560.748031496063,1742.0413793103448,1998.6639344262296,2011.359375,1253.1808873720136,1307.654761904762,1740.6853448275863,1660.0579710144928,1506.4280442804427,3166.3382352941176,1895.63306605427
6,1887.9533333333334,1797.1891891891892,2582.778894472362,2269.4094827586205,2189.3893442622953,3070.0781893004114,2221.4306220095696,1435.389705882353,1656.0,3681.3119266055046,2041.6577946768061,1804.9795918367347,2388.4508196721313,1714.3846153846155,2671.2321428571427,1480.057142857143,3678.089494163424,1822.8199233716475,1724.0826771653544,1823.240418118467,2414.066390041494,2292.875,1392.2861952861954,1410.5140562248996,1878.381974248927,1896.4951923076924,1810.7703703703703,3621.874074074074,2166.328162873956,1887.9533333333334,1797.1891891891892,2582.778894472362,2269.4094827586205,2189.3893442622953,3070.0781893004114,2221.4306220095696,1435.389705882353,1656.0,3681.3119266055046,2041.6577946768061,1804.9795918367347,2388.4508196721313,1714.3846153846155,2671.2321428571427,1480.057142857143,3678.089494163424,1822.8199233716475,1724.0826771653544,1823.240418118467,2414.066390041494,2292.875,1392.2861952861954,1410.5140562248996,1878.381974248927,1896.4951923076924,1810.7703703703703,3621.874074074074,2166.3281628739555
7,2069.827242524917,2100.6438356164385,3138.52,2639.278260869565,2303.9673469387753,3505.633744855967,2696.747572815534,1534.3786764705883,1866.65,4433.834101382488,2265.0266159695816,2012.0255102040817,2835.4522821576766,1913.948905109489,3233.1418439716313,1578.2313167259786,4261.543307086614,1914.5294117647059,1900.9527559055118,1928.399293286219,2828.101694915254,2612.3736842105263,1503.2666666666667,1504.4453441295548,1970.733905579399,2145.1722488038276,2165.0337078651687,4064.211320754717,2461.6453784493174,2069.827242524917,2100.6438356164385,3138.52,2639.278260869565,2303.9673469387753,3505.633744855967,2696.747572815534,1534.3786764705883,1866.65,4433.834101382488,2265.0266159695816,2012.0255102040817,2835.4522821576766,1913.948905109489,3233.1418439716313,1578.2313167259786,4261.543307086614,1914.5294117647059,1900.9527559055118,1928.399293286219,2828.101694915254,2612.3736842105263,1503.2666666666667,1504.4453441295548,1970.733905579399,2145.1722488038276,2165.0337078651687,4064.211320754717,2461.6453784493174
8,2291.526845637584,2540.1944444444443,3683.8805970149256,2994.4557522123896,2421.68016194332,3979.444897959184,3295.299019607843,1603.4044117647059,2107.6605504587155,5399.566037735849,2452.2213740458014,2296.112244897959,3369.2911392405063,2070.9962962962964,3965.177304964539,1672.88256227758,4868.658730158731,2006.980079681275,2116.0629921259842,2060.8709677419356,3204.3766233766232,2985.6,1604.3333333333333,1596.204918032787,2016.0689655172414,2443.8947368421054,2575.385496183206,4445.55,2788.1350172676744,2291.526845637584,2540.1944444444443,3683.8805970149256,2994.4557522123896,2421.68016194332,3979.444897959184,3295.299019607843,1603.4044117647059,2107.6605504587155,5399.566037735849,2452.2213740458014,2296.112244897959,3369.2911392405063,2070.9962962962964,3965.177304964539,1672.88256227758,4868.658730158731,2006.980079681275,2116.0629921259842,2060.8709677419356,3204.3766233766232,2985.6,1604.3333333333333,1596.204918032787,2016.0689655172414,2443.8947368421054,2575.385496183206,4445.55,2788.1350172676734
9,2572.3707482993195,3118.7783018867926,4273.395,3352.801801801802,2540.5282258064517,4441.805668016194,3994.0841584158416,1663.1561338289962,2404.972222222222,6465.159420289855,2609.420849420849,2688.8711340206187,3985.6008583690987,2182.0037735849055,4777.4341637010675,1757.964412811388,5566.600806451613,2080.165991902834,2411.1338582677167,2254.061818181818,3566.761061946903,3397.7842105263157,1694.5384615384614,1675.3640167364017,2039.935064935065,2805.158653846154,2997.9147286821703,4718.890625,3144.1662918032453,2572.3707482993195,3118.7783018867926,4273.395,3352.801801801802,2540.5282258064517,4441.805668016194,3994.0841584158416,1663.1561338289962,2404.972222222222,6465.159420289855,2609.420849420849,2688.8711340206187,3985.6008583690987,2182.0037735849055,4777.4341637010675,1757.964412811388,5566.600806451613,2080.165991902834,2411.1338582677167,2254.061818181818,3566.761061946903,3397.7842105263157,1694.5384615384614,1675.3640167364017,2039.935064935065,2805.158653846154,2997.9147286821703,4718.890625,3144.1662918032453
