,0,mean
0,676.7204724409448,676.7204724409448
1,767.8139534883721,767.8139534883721
2,862.0191570881226,862.0191570881226
3,953.1098484848485,953.1098484848485
4,1044.7164179104477,1044.7164179104477
5,1165.719557195572,1165.719557195572
6,1350.9127272727274,1350.9127272727274
7,1606.5745454545454,1606.5745454545454
8,1889.494584837545,1889.494584837545
9,2181.650909090909,2181.650909090909
10,2469.948529411765,2469.948529411765
11,2704.3518518518517,2704.3518518518517
12,2873.856603773585,2873.856603773585
13,2941.3,2941.3
14,2959.95703125,2959.95703125
15,2980.02390438247,2980.02390438247
16,3056.731707317073,3056.731707317073
17,3128.4190871369296,3128.4190871369296
18,3194.6329113924053,3194.6329113924053
19,3201.1688311688313,3201.1688311688313
20,3134.6071428571427,3134.6071428571427
21,3011.4816513761466,3011.4816513761466
22,2889.6509433962265,2889.6509433962265
23,2802.1073170731706,2802.1073170731706
24,2805.5124378109454,2805.5124378109454
25,2823.688775510204,2823.688775510204
26,2854.40625,2854.40625
27,2844.1648936170213,2844.1648936170213
28,2799.092896174863,2799.092896174863
29,2685.762711864407,2685.762711864407
30,2562.3372093023254,2562.3372093023254
31,2411.053892215569,2411.053892215569
32,2255.65625,2255.65625
33,2060.2418300653594,2060.2418300653594
34,1819.8243243243244,1819.8243243243244
35,1586.201388888889,1586.201388888889
36,1053.7777777777778,1053.7777777777778
37,950.8813559322034,950.8813559322034
38,870.8918918918919,870.8918918918919
39,806.9607843137255,806.9607843137255
40,752.8,752.8
41,694.0898876404494,694.0898876404494
42,656.6463414634146,656.6463414634146
43,616.5131578947369,616.5131578947369
44,604.5507246376811,604.5507246376811
45,531.6071428571429,531.6071428571429
46,499.0833333333333,499.0833333333333
47,461.1388888888889,461.1388888888889
48,458.7037037037037,458.7037037037037
49,452.5,452.5
50,430.0,430.0
