,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean
0,873.9363636363636,906.5304347826087,819.9901315789474,1169.765,1106.0114285714285,1333.2311320754718,885.3962962962963,846.4871794871794,815.1225806451613,1003.6123348017621,1064.0956937799042,881.9193548387096,975.5965909090909,1258.7808219178082,1019.2907488986784,836.8928571428571,689.9136363636363,1189.3315789473684,1054.8217391304347,738.3659793814433,1212.7576791808874,810.6186046511627,872.8920187793427,879.8483606557377,783.1534653465346,753.3946188340807,999.4340277777778,816.38,703.4771573604061,807.2681992337165,857.066985645933,1054.68487394958,957.9431818181819,1070.934065934066,1179.1016949152543,949.3727662076515
1,942.9419642857143,1021.3589743589744,914.275974025974,1338.295566502463,1223.2625698324023,1746.493023255814,988.7737226277372,913.0127118644068,945.6392405063291,1108.939393939394,1196.4764150943397,1023.7142857142857,1116.7865168539327,1404.8783783783783,1102.3493449781658,902.7430830039526,743.6428571428571,1437.0103092783504,1226.7820512820513,851.6581632653061,1305.9695945945946,863.594470046083,964.8287037037037,1026.4065040650407,923.7598039215686,842.8355555555555,1107.6061643835617,928.085808580858,794.19,914.4528301886793,923.7630331753554,1167.991631799163,1004.179104477612,1241.7880434782608,1547.011049723757,1077.299909825275
2,1046.017543859649,1152.9327731092437,1016.1254019292604,1534.8454106280194,1341.6010928961748,2290.9158878504672,1083.0541516245487,996.7375,1075.35625,1212.4,1321.7169811320755,1182.407843137255,1253.7833333333333,1541.1972789115646,1206.8831168831168,985.6941176470589,831.5877192982456,1821.989847715736,1459.0759493670887,993.695,1409.2933333333333,915.2110091743119,1043.0228310502282,1187.084,1097.8446601941748,942.9030837004406,1214.245733788396,1046.6449511400651,903.7711442786069,1068.5112781954888,1011.6338028169014,1284.9125,1058.409594095941,1443.590425531915,2063.1739130434785,1229.664841704746
3,1163.8,1302.2614107883817,1122.3015873015872,1775.4285714285713,1473.172972972973,2935.232558139535,1188.3035714285713,1088.3032786885246,1217.2638036809815,1275.7489539748954,1451.8254716981132,1373.938223938224,1409.875,1625.8590604026845,1339.9442060085837,1071.988326848249,950.5434782608696,2337.194029850746,1706.908713692946,1150.7107843137255,1521.782894736842,979.2954545454545,1130.95,1314.7193675889328,1306.2463768115942,1054.2620087336245,1289.878787878788,1162.4142394822006,1010.3235294117648,1245.7910447761194,1119.2676056338028,1425.8091286307053,1115.68,1635.59375,2589.9732620320856,1396.0740415337161
4,1297.6752136752136,1476.79012345679,1230.321766561514,2115.8591549295775,1625.345744680851,3625.232558139535,1334.864768683274,1196.1747967479675,1404.0,1353.0373443983403,1581.9198113207547,1575.1145038167938,1569.7807486631016,1724.25,1511.3846153846155,1169.3023255813953,1102.457264957265,2995.092682926829,1852.7295081967213,1351.3268292682926,1648.344262295082,1060.6272727272728,1225.7972972972973,1395.7976653696498,1535.7740384615386,1182.3086956521738,1382.8671096345515,1261.176282051282,1126.6456310679612,1466.762962962963,1242.1830985915492,1593.2355371900826,1192.4079422382672,1829.984693877551,3085.1570680628274,1580.6208376819684
5,1445.936974789916,1682.7078189300412,1343.2257053291537,2590.1302325581396,1850.4635416666667,4330.257009345794,1526.1524822695035,1326.032258064516,1692.105882352941,1450.857142857143,1729.2417061611375,1746.706106870229,1702.5052631578947,1833.6351351351352,1721.1106382978724,1302.562015503876,1273.5864978902953,3735.497607655502,1821.7836734693878,1618.743961352657,1770.8899676375404,1161.8243243243244,1365.6517857142858,1454.5173745173745,1864.0817307692307,1322.0,1499.8355263157894,1333.863924050633,1239.2836538461538,1702.014705882353,1399.0663507109005,1788.2868852459017,1265.3985765124555,1982.705,3568.9435897435897,1784.0458585408091
6,1611.1440677966102,1916.1958333333334,1468.9125,3268.3767441860464,2133.6428571428573,5048.768867924528,1751.3286219081272,1504.233870967742,2072.872832369942,1574.9354838709678,1891.137440758294,1872.0881226053639,1870.848167539267,1965.0816326530612,1992.5974576271187,1473.4357976653696,1431.347280334728,4478.485849056604,1738.4,1948.014423076923,1923.6913183279744,1287.8116591928251,1520.450892857143,1541.3333333333333,2333.9126213592235,1462.871244635193,1621.140522875817,1390.8875,1341.3857142857144,1936.7765567765568,1573.4471153846155,2019.3950617283951,1354.0105263157895,2141.5862068965516,3993.409090909091,2012.9702061627177
7,1800.6051502145922,2183.5714285714284,1597.0875,4135.06511627907,2433.4170854271356,5823.196172248804,1967.9929328621909,1747.2439024390244,2496.994318181818,1683.404761904762,2063.952606635071,1932.1417624521073,2134.4450261780103,2105.7671232876714,2312.337552742616,1718.4980544747082,1574.2478991596638,5258.793427230047,1715.4244897959184,2385.55980861244,2089.3833865814695,1437.6995515695066,1688.5733333333333,1680.820610687023,2983.044117647059,1603.340425531915,1724.0586319218241,1441.2693498452013,1407.5047619047618,2127.667883211679,1780.4411764705883,2231.909465020576,1471.5865724381626,2285.5073891625616,4489.923857868021,2271.785046625451
8,2003.0393013100436,2467.863829787234,1720.1849529780563,5175.919811320755,2723.522613065327,6796.269607843137,2171.120141342756,1993.8312757201645,2927.9717514124295,1780.2629482071713,2250.9665071770337,1975.9195402298851,2550.7083333333335,2236.103448275862,2672.4425531914894,2065.556862745098,1739.7563025210084,6064.119047619048,1756.9876033057851,2943.541062801932,2260.541401273885,1593.7058823529412,1836.0982142857142,2003.003846153846,3831.272277227723,1725.4683544303798,1801.2135922330096,1478.6319018404909,1480.4,2291.3956043956046,2001.5276381909548,2442.313807531381,1656.6334519572954,2449.6206896551726,4912.010256410256,2565.14069748932
9,2226.5491071428573,2797.6233766233768,1843.763406940063,6365.1809523809525,3078.816326530612,7890.537688442211,2359.220640569395,2215.896265560166,3343.564245810056,1881.2730923694778,2531.264705882353,2002.6447876447876,3067.952879581152,2380.6206896551726,3064.4377682403433,2539.443137254902,1943.0,6803.764423076923,1868.7196652719665,3620.9660194174758,2438.481012658228,1762.7201834862385,1954.5158371040725,2556.94921875,4828.80808080808,1822.1308016877638,1865.7266881028938,1506.5823170731708,1545.3492822966507,2447.547794117647,2240.8153846153846,2636.331914893617,1950.605734767025,2637.708542713568,5217.465968586387,2892.48508400157
10,2462.577272727273,3131.013215859031,1928.104761904762,7606.836538461538,3538.978947368421,9034.355670103092,2531.5575539568345,2355.3193277310925,3815.6353591160223,1954.2857142857142,2950.5628140703516,2038.0708661417323,3561.8835978835978,2436.8551724137933,3475.147186147186,3146.427450980392,2168.175965665236,7418.339805825242,2065.727659574468,4356.357843137255,2621.1873015873016,1954.2325581395348,2066.3317972350233,3385.3110236220473,5844.257731958763,1916.4936170212766,1930.8942307692307,1536.418181818182,1595.502415458937,2554.768382352941,2469.361256544503,2867.4285714285716,2326.8836363636365,2824.773195876289,5417.709677419355,3236.793322884246
